item_id_a,item_id_b,name_a,name_b,brand_a,brand_b,size_a,size_b,pl_a,pl_b,composite,stratum,label,reason,judge,tier,label_sonnet,reason_sonnet
363797,110096,"Orgain Organic Vegan Protein Powder, Vanilla Bean - 21g of Plant Based Protein, Low Net Carbs, Non Dairy, Gluten Free, Lactose Free, No Sugar Added, Soy Free, Kosher, 1.02 Pound (Packaging May Vary)","Orgain Organic Vegan 21g Protein Powder, Plant Based Shake Drink, Vanilla Bean 1.02lb",orgain,orgain,1.02lb,1.02lb,False,False,0.825427960654701,high,1,"Same brand (Orgain), same product type (organic vegan protein powder), same flavor (vanilla bean), and same size (1.02 lb), both are national brands.",gpt-5-nano,verify_accept,1,"Same brand (Orgain), same product type (organic vegan protein powder), same flavor (vanilla bean), same size (1.02lb), and same protein content (21g). Minor naming differences are just marketing/description variants."
2121084,99141,"(12 pack) Great Value Mild Diced Tomatoes with Green Chilies, 10 oz","Wegmans Diced Tomatoes with Green Chilies, Mild Heat",great value,wegmans,10oz,10oz,True,True,0.7926350139421958,high,0,"Same product type and 10 oz private-label, but store item includes '(12 pack)' while the other is not a 12-pack, so size/pack count doesn’t match.",gpt-5-nano,verify_accept,0,Different private label brands (Great Value vs Wegmans) — not interchangeable as they are distinct store brands from different retailers
2057614,115536,"OPTI-FREE Replenish Disinfecting Contact Lens Solution for Daily Contact Lens Cleaning Use, 10 fl oz","Opti-Free Replenish Multi-Purpose Disinfecting Solution, Enhanced Comfort",opti free replenish,opti free,10fl_oz,10fl_oz,False,False,0.8416246761852124,high,1,"Same brand (national), same product (Opti-Free Replenish contact lens solution), same size (10 fl oz) and both non–private label; flavor/variant corresponds to the same Replenish formulation.",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6pLcWMdHkVgTp82k6R'}"
1924562,96173,"KIND Gluten Free Caramel Almond & Sea Salt Snack Bars, Value Pack, 1.4 oz, 12 Count Box",Kind Caramel Almond & Sea Salt Bar,kind gluten,kind,1.4oz,1.4oz,False,False,0.8059479403509842,high,0,"While brand class and flavor match (KIND caramel almond & sea salt, 1.4 oz), Store A is a 12-count value pack and Store B appears to be a single bar; not the same size/count configuration.",gpt-5-nano,verify_accept,1,"Same brand (KIND), same product type (Caramel Almond & Sea Salt bar), same size (1.4oz), both national label. Multi-pack vs single with matching per-unit size."
1939949,112814,"Degree Long Lasting Men's Deodorant Stick Twin Pack, Arctic Edge, 3 oz","Degree Deodorant, Arctic Edge",degree long,degree,3oz,3oz,False,False,0.8409864500438873,high,1,"Same brand class (national), same product type (men's deodorant), same variant (Arctic Edge), and same size (3 oz) for unit equivalence; twin-pack is acceptable when per-unit size matches.",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6q7vYYcPqua1nsUQ3w'}"
2112004,90613,Concha Y Toro Merlot 750 ml Dry Red Chilean Wine - 12.5% Alcohol,Concha y Toro Casillero del Diablo Cabernet Sauvignon,concha y toro,concha y,750ml,750ml,False,False,0.8200187647241783,high,0,"Same brand and 750ml, but different wine type/variant: Merlot vs Cabernet Sauvignon.",gpt-5-nano,verify_swap,0,Different wine varietals: Merlot vs Cabernet Sauvignon
1927693,110656,"Head and Shoulders Bare Pure Clean Dandruff Shampoo, Anti-Dandruff Treatment, 13.5 FL oz","Head & Shoulders Bare Pure Clean Dandruff Shampoo, Anti-Dandruff Treatment",head and,head & shoulders,13.5fl_oz,13.5fl_oz,False,False,0.803380596165875,high,1,"Same national brand (Head & Shoulders), same product (Bare Pure Clean Dandruff anti-dandruff shampoo), same size (13.5 fl oz); naming punctuation differs only.",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6qAYoQqxLRwuowuf9k'}"
2057584,110275,"One A Day Men's Multivitamin Tablets, Multivitamins for Men, 100 Count",One A Day Tablets Men's Multi,one a,one a day,100ct,100ct,False,False,0.8340043147045673,high,1,"Same national brand class (One A Day), same product type (men's multivitamin tablets), same variant context (men's multivitamin), and same size (100 ct).",gpt-5-nano,verify_accept,1,"Same brand (One A Day), same product type (men's multivitamin tablets), same size (100ct), both national brand."
2749279,98209,"Grace Tropical Rhythms Sorrel Ginger Drink, 16 fl oz","GRACE Tropical Rhythms Juice Drink, Mango Carrot",grace tropical,grace,16fl_oz,16fl_oz,False,False,0.8395205538974027,high,0,Different flavor/variant: Sorrel Ginger (A) vs Mango Carrot (B); other attributes match.,gpt-5-nano,verify_accept,0,Different flavors: Sorrel Ginger vs Mango Carrot
1918773,97063,"So Delicious Dairy Free Shelf Stable Vegan and Gluten Free Unsweetened Organic Coconut Milk Carton, 32 fl oz",So Delicious Dairy Free Organic Unsweetened Coconutmilk,so delicious,so delicious dairy free,32fl_oz,32fl_oz,False,False,0.8312608303025363,high,1,"Same brand (national), same product type (unsweetened organic coconut milk), same variant (dairy-free, unsweetened, organic) and same size (32 fl oz).",gpt-5-nano,verify_accept,1,"Same brand (So Delicious), same product type (unsweetened organic coconut milk), same size (32 fl oz), both national brand non-private-label. Minor name/packaging description differences only."
1921275,97900,"McCormick Salad Supreme Seasoning, 4.34 oz Bottle",McCormick PERFECT PINCH Gluten Free Salad Supreme Seasoning,mccormick salad,mccormick,4.34oz,4.34oz,False,False,0.8361029281229877,high,0,"Same brand class, size, and product type, but different named variant (Salad Supreme vs Perfect Pinch Gluten Free).",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6srHndffBX4h2VjfKH'}"
2051477,102380,"PLANTERS Deluxe Lightly Salted Mixed Nuts, Party Snacks, Plant Based Protein 15.25 oz Steel Can","Planters Mixed Nuts, Lightly Salted",planters deluxe,planters,15.25oz,15.25oz,False,False,0.8185629013532159,high,0,"Different product variants: A is 'Deluxe' mixed nuts with plant-based protein (party snacks), while B is generic 'Planters Mixed Nuts, Lightly Salted' (not specified as Deluxe/plant-based). Size and brand class match, but variant does not.",gpt-5-nano,verify_accept,1,"Same brand (Planters), same product type (lightly salted mixed nuts), same size (15.25oz), both national label. 'Deluxe' in name A likely refers to the same SKU as B given matching size and flavor."
2069233,95990,"(4 pack) Dole Fruit Bowls No Sugar Added Mandarin Oranges in Water, 4 oz Cups (4 Pack)",Dole Mandarin Oranges Value Pack,dole fruit,dole,4oz,4oz,False,False,0.8364536630116401,high,0,Product type/variant mismatch: A is 4-pack 4 oz cups of No Sugar Added Mandarin Oranges in Water; B is a generic Dole Mandarin Oranges value pack with no matching no-sugar-added/cup format specified.,gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6uaQrz2qBZLnu3ZSYJ'}"
1937882,114956,"Edge Cedarwood & Shea Butter Men's Shave Gel, 7 oz",Edge Shave Gel with Vitamin E,edge cedarwood,edge,7oz,7oz,False,False,0.7817531033775302,high,0,"Different product variant: A is Cedarwood & Shea Butter men's shave gel; B is Edge shave gel with Vitamin E. Size and brand class match, but flavors/variant do not.",gpt-5-nano,verify_accept,0,Different variants: A is Cedarwood & Shea Butter while B is Vitamin E formula
2074831,1090221,"(12 pack) Great Value Spring Water, 1 Gallon",Wegmans Spring Water Gallon,great value,wegmans,1gal,1gal,True,True,0.7976349118125693,high,0,Product names conflict on pack size/count: A is '(12 pack)' while B appears to be a single gallon; sizes are both listed as 1gal but pack configuration differs.,gpt-5-nano,verify_accept,0,Different private label brands (Great Value vs Wegmans) — not interchangeable as they are distinct store brands from different retailers
1925204,108031,"Just For Men Control GX Grey Reducing Shampoo, Gradual Hair Color with Keratin for Stronger Thicker and Healthier Hair, 4 fl oz - Pack of 1 (Packaging May Vary)","Just For Men Control GX Haircolour Shampoo, Grey-Reducing",just for,just for men,4fl_oz,4fl_oz,False,False,0.8376876909494728,high,1,"Same brand class (national), same product type (Just For Men Control GX grey-reducing shampoo/colour), same variant (Control GX Grey Reducing) and same size (4 fl oz); pack formatting differs but size per unit matches.",gpt-5-nano,verify_accept,1,"Same brand (Just For Men), same product type (Control GX Grey Reducing Shampoo), same size (4 fl oz), both national label."
1913757,114077,"Vicks Vapo Rub Topical Chest Rub and Analgesic Ointment, Cough Medicine for Cough Relief, 3.53 Oz","Vicks Vaporizing Decongestant Topical Chest Rub & Analgesic Ointment, Over-the-Counter Medicine",vicks vapo,vicks,3.53oz,3.53oz,False,False,0.8309489597950717,high,1,"Same brand (Vicks, national), same product type (topical chest rub/analgesic ointment), same size (3.53 oz); names indicate same variant despite differing wording (cough/decongestant).",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6vSokBWJ6u5C6WN17n'}"
2195268,951200,"Kristin Ess Hair Strand Strengthening Reconstructive Moisture Mask, Deep Conditioning for Dry Hair, 6.7oz",Kristin Ess Ultra Fine Workable Hairspray,kristin ess,kristin ess,6.7oz,6.7oz,False,False,0.7933115619380244,high,0,"Same brand and size, but different product type (moisture mask vs hairspray)",gpt-5-nano,verify_swap,0,Same brand and size but different product types: moisture mask vs. hairspray
1914871,95363,"Twix Caramel Vanilla Milk Chocolate Ice Cream Bars, 11.58 fl oz, 6 Pack",Twix Ice Cream Bars Vanilla Caramel Chocolatey Cookie Dessert Bar Individually Wrapped,twix caramel,twix,11.58fl_oz,11.58fl_oz,False,False,0.8369475265340427,high,0,Flavor/variant order differs: A is 'Caramel Vanilla' while B is 'Vanilla Caramel' (not clearly the same specified variant); size and brand class match otherwise.,gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6xFxBygLb5Hsw8fdSP'}"
1927340,114514,"hello Smiling Shark Fluoride Free Kids Toothpaste, Natural Fruit Punch, 4.2 Oz Tube","Hello Toothpaste, Fresh Watermelon, Fluoride Free",hello smiling,hello,4.2oz,4.2oz,False,False,0.8013787551522198,high,0,"Same brand/size/fluoride-free, but flavor/variant differs (Natural Fruit Punch vs Fresh Watermelon).",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6y78PpxsiPeRfzSEzA'}"
2081622,91492,"Kontos, Thin Flatbread, Traditional White, Light, Vegan, 10 Ounces, 6 Count, Shelf Stable","Kontos Flatbread, Greek Lifestyle",kontos,kontos,10oz,10oz,False,False,0.8102564493688909,high,0,"Same brand and size (10oz) but different product/variant: A is traditional white light vegan flatbread (6 count), while B is 'Greek Lifestyle' flatbread.",gpt-5-nano,verify_accept,0,Same brand and size but different product variants: A is 'Thin Flatbread Traditional White Light' (6 count) while B is 'Greek Lifestyle' flatbread — different flavor/style variants that are not interchangeable.
2092398,951083,"Dropps Dishwasher UltraWash Detergent Pods, Biobased, Fights Grease & Stuck On Food, Lemon Citrus Scent, 48 Count",Dropps Biobased Power Dishwasher Detergent Pods - Unscented,dropps,dropps,48ct,48ct,False,False,0.8269170692614936,high,0,"Both are Dropps 48-count biobased dishwasher detergent pods, but A is Lemon Citrus scented while B is Unscented; flavor/variant differs.",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad6yxdx6NPRiYwye8H7N'}"
1940386,101279,"Crunchmaster Avocado Toast Cracker, Salt & Pepper, Gluten Free Cracker, 3.54 oz.",Crunchmaster Salt & Pepper Rice Crackers,crunchmaster avocado,crunchmaster,3.54oz,3.54oz,False,False,0.8002485325701834,high,0,Product type/variant mismatch: A is “Avocado Toast Cracker” while B is “Salt & Pepper Rice Crackers” (different cracker type) despite same size and brand-class.,gpt-5-nano,verify_accept,0,"Different product types: A is an Avocado Toast Cracker while B is a Rice Cracker, despite same brand and size."
2195463,2684650,"Pepto Nausea, Non-Medicated Ginger Gummy, Helps Prevent Occasional Nausea*, 24 Count",Pepto-Bismol Antacid Nausea Non-Medicated Ginger Gummy,pepto,pepto bismol antacid,24ct,24ct,False,False,0.8363699734811274,high,1,"Both are Pepto (national brand), same private-label status, same product type (non-medicated ginger gummy for nausea/antacid), same size (24ct), and same variant (ginger gummy).",gpt-5-nano,verify_accept,1,"Same brand (Pepto/Pepto-Bismol), same product type (non-medicated ginger gummy for nausea), same size (24ct), both national label."
1927101,1854365,"Hidden Valley Pickle Ranch Dipping Sauce Topping and Dressing, 20 fl oz Easy Squeeze Bottle","Hidden Valley The Original Ranch Night Condiment & Dressing, Garlic Ranch",hidden valley,hidden valley,20fl_oz,20fl_oz,False,False,0.8485376298952068,high,0,"Same brand class and size, but different ranch variant/flavor (Pickle Ranch vs Garlic Ranch).",gpt-5-nano,verify_accept,0,"Same brand and size, but different flavors: Pickle Ranch vs Garlic Ranch"
2071052,95623,"(2 pack) Glutino Gluten Free Vanilla Crème Flavored Sandwich Cookies, 10.5 oz.",Glutino Vanilla Creme Sandwich Cookies,glutino gluten,glutino,10.5oz,10.5oz,False,False,0.8358924435143532,high,1,"Same brand (national), same product type (vanilla crème flavored sandwich cookies), same variant, and same total size (10.5 oz); 2-pack packaging doesn’t change the listed size.",gpt-5-nano,verify_accept,1,"Same brand (Glutino), same product type (vanilla creme sandwich cookies), same size (10.5oz), both national brand."
2067454,1084123,"(3 pack) Goya Salad Olives Pitted Manzanilla Olives with Pimientos, 9.5 oz","Goya Olives, Spanish, Manzanilla",goya salad,goya,9.5oz,9.5oz,False,False,0.8279717932097543,high,0,Name indicates A is a (3 pack) while B appears to be single; size/pack configuration does not match (even though listed oz is 9.5).,gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad72cQrfk8KUeqvMe2CM'}"
2071512,1170890,"Zoup! Good, Really Good, Portobello Mushroom Bisque Soup, Shelf-Stable, 16 oz",Zoup! Portabella Mushroom Bisque,zoup good,zoup,16oz,16oz,False,False,0.8272973430642026,high,1,"Same national brand (Zoup!), same product type (mushroom bisque soup), same size 16 oz; differing wording about flavor/packaging is consistent.",gpt-5-nano,verify_accept,1,"Same brand (Zoup!), same product type (Portobello/Portabella Mushroom Bisque), same size (16oz), both national brand. Spelling difference in mushroom name is trivial."
1932777,108268,"Gerber Stage 3 Baby Food Snacks, Banana Vanilla Yogurt Melts, Baby Led Feeding 1 oz",Gerber Crawler (8+ Months) Banana Vanilla Yogurt Melts,gerber stage,gerber,1oz,1oz,False,False,0.8440036340652963,high,0,Different Gerber stage/product type (Stage 3 baby food snacks vs Crawler 8+ months); not the same variant despite same size and brand class.,gpt-5-nano,verify_accept,1,"Same brand (Gerber), same product type (Banana Vanilla Yogurt Melts), same size (1oz), both national brand. Stage 3/Crawler are equivalent age-stage descriptors for the same product."
2071345,101620,"Prego Chunky Roasted Garlic and Herb Pasta Sauce, 23.75 oz Jar",Prego Chunky Garden Combo Pasta Sauce,prego chunky,prego,23.75oz,23.75oz,False,False,0.88500156759444,very_high,0,"Brand class and size match, but flavor/variant differs (Roasted Garlic and Herb vs Garden Combo).",gpt-5-nano,verify_accept,0,Different variants: Roasted Garlic and Herb vs Garden Combo
1923338,113117,"Listerine Pocketmist Cool Mint Oral Care Spray, Bad Breath, 7.7 mL, 2ct","Listerine Pocketmist Oral Care Mist, Cool Mint",listerine pocketmist,listerine,7.7ml,7.7ml,False,False,0.9123294456486328,very_high,1,"Same national brand (Listerine, not private-label), same product type (Pocketmist oral care spray/mist), same variant (Cool Mint), same size (7.7 mL; 2ct differs but per-unit size matches).",gpt-5-nano,verify_accept,-1,"err: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 5 requests per minute (org: 948c0903-3e3b-4a20-9324-e981cdb4c948, model: claude-sonnet-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011Cad74QYnjhuixUz8Go7RE'}"
